"nrAuthors","year","Flesch","NDC","n"
"1",1881,45.2915909091,8.835,2
"1",1896,24.4666892450143,11.4328571428571,7
"1",1897,27.4336259663923,11.0253846153846,13
"1",1898,21.7903994856875,11.73875,8
"1",1899,30.07945157692,11.173,10
"1",1900,18.05661820442,11.4,5
"1",1901,24.1169805729667,11.7833333333333,3
"1",1902,32.6642868988,10.71,1
"1",1903,34.8723448276,10.84,1
"1",1905,27.1184493143071,11.15,14
"1",1906,23.9599055890625,11.54875,8
"1",1907,30.5987820557444,11.2844444444444,18
"1",1908,26.57313708865,11.48,10
"1",1909,23.948014867088,11.5424,25
"1",1910,23.2127681831857,11.547619047619,21
"1",1911,27.8810333277513,11.3623076923077,39
"1",1912,27.1780975085817,11.3008333333333,60
"1",1913,24.7508628327042,11.4245833333333,48
"1",1914,28.1817889037044,11.4928888888889,45
"1",1915,28.4441088253431,11.3008620689655,58
"1",1916,28.3976604678607,11.4557142857143,56
"1",1917,26.367356057507,11.519649122807,57
"1",1918,25.6848985084818,11.5405454545455,55
"1",1919,27.0951391557341,11.3570454545455,44
"1",1920,27.5955137067697,11.4,33
"1",1921,27.4882345761523,11.4790909090909,44
"1",1922,30.9741088563519,11.3855769230769,52
"1",1923,26.8496231585317,11.6141463414634,41
"1",1924,24.0210100310815,11.687037037037,54
"1",1925,28.0147971186429,11.2171428571429,56
"1",1926,25.9991291704,11.6317647058824,51
"1",1927,25.3059068179219,11.8219178082192,73
"1",1928,22.2142277303695,11.8115254237288,59
"1",1929,26.5903375769309,11.6509090909091,55
"1",1930,23.387049500297,11.7859090909091,66
"1",1931,25.2337770514065,11.7679032258065,62
"1",1932,19.5968104596378,12.2153333333333,45
"1",1933,21.3776358789357,12.0821428571429,42
"1",1934,23.4507191927206,11.8273529411765,34
"1",1935,21.5288474640879,12.2312121212121,33
"1",1936,20.2975974214085,12.2655319148936,47
"1",1937,18.6800899050545,12.0797727272727,44
"1",1938,19.8123540481333,12.2453846153846,39
"1",1939,20.13183568475,12.2661111111111,36
"1",1940,19.2470071739778,11.9536111111111,36
"1",1941,25.4586770904485,11.6669696969697,33
"1",1942,22.6985499134118,11.7397058823529,34
"1",1943,23.4559945950167,11.7383333333333,36
"1",1944,21.6732352675853,12.0052941176471,34
"1",1945,17.7551979577788,12.159696969697,33
"1",1946,18.5440444262303,12.1181818181818,33
"1",1947,15.9688428238565,12.33,23
"1",1948,22.309848779168,11.7804,25
"1",1949,28.4745017147588,11.4711764705882,34
"1",1950,24.639393579344,11.964,25
"1",1951,15.1462138346667,12.235,24
"1",1952,17.1474630523133,12.2763333333333,30
"1",1953,16.9155791861294,12.2014705882353,34
"1",1954,18.1660688602067,12.061,30
"1",1955,22.9921969626417,12.0008333333333,24
"1",1956,18.433237214669,12.137619047619,42
"1",1957,21.4239155437897,11.9276923076923,39
"1",1958,18.4209698343742,12.1806060606061,66
"1",1959,22.265401213086,12.0183333333333,150
"1",1960,19.5423118136383,12.1149101796407,167
"1",1961,23.0256796587548,11.9835638297872,188
"1",1962,22.490510058419,12.0195022624434,221
"1",1963,21.0838451918804,12.1972852233677,291
"1",1964,20.2713977064915,12.17,293
"1",1965,20.1345938721645,12.2582578397213,287
"1",1966,19.9385100271307,12.1715950920245,326
"1",1967,20.154698420309,12.1448036951501,433
"1",1968,17.6599806621589,12.3668571428571,350
"1",1969,19.3559130314495,12.2251515151515,495
"1",1970,21.3878773887214,12.0163268892794,569
"1",1971,21.1625195347597,11.9979365079365,504
"1",1972,21.3695135083583,12.0626577437859,523
"1",1973,21.6843275063485,12.0355192307692,520
"1",1974,20.4954913638962,12.0777330895795,547
"1",1975,19.2475815812997,12.1138987566607,1126
"1",1976,18.2683828317813,12.1477142857143,1190
"1",1977,18.6653584053986,12.1287402933563,1159
"1",1978,17.5137484781167,12.251775147929,1183
"1",1979,17.980380294524,12.1596459412781,1158
"1",1980,17.9046821056631,12.224500450045,1111
"1",1981,16.5584119122663,12.2997100175747,1138
"1",1982,16.5361592564166,12.3302428057554,1112
"1",1983,16.3428496376737,12.2861448427213,1367
"1",1984,17.5392065798811,12.2631193353474,1324
"1",1985,16.621275781691,12.2582014925373,1340
"1",1986,17.0858485596871,12.2500901639344,1220
"1",1987,16.5658733421522,12.2320179007323,1229
"1",1988,16.9323125053347,12.2001211689237,1403
"1",1989,16.9036400270848,12.2498669796557,1278
"1",1990,15.3884606939883,12.323514739229,1323
"1",1991,15.1650801549012,12.3445394736842,1216
"1",1992,15.554740936145,12.3588230647709,1266
"1",1993,15.8222429582789,12.3342505592841,1341
"1",1994,15.8791966456702,12.3498217054264,1290
"1",1995,15.2728104801471,12.3739764705882,1275
"1",1996,14.2575060616978,12.4441876971609,1268
"1",1997,14.5503443083808,12.4516539050536,1306
"1",1998,15.8578166881101,12.5132395287958,1528
"1",1999,13.9490832415538,12.4714641744548,1605
"1",2000,18.4225357921746,12.2359167404783,2258
"1",2001,13.4808780905642,12.5415546218487,1666
"1",2002,14.0562927291915,12.5871761960327,1714
"1",2003,13.7995678162819,12.5584238488784,1694
"1",2004,13.8282952433114,12.592942979767,1631
"1",2005,13.8491477816033,12.5838415003025,1653
"1",2006,13.4959712337873,12.5951808706315,1631
"1",2007,12.626398973,12.7075223675155,1453
"1",2008,13.2357880076111,12.6525822253324,1429
"1",2009,13.56524766195,12.6270049680625,1409
"1",2010,13.1170506042057,12.6586549295775,1420
"1",2011,13.1066239923071,12.6303042763158,1216
"1",2012,11.6447364601362,12.6890592592593,1350
"1",2013,12.3202500847177,12.6882157339822,1233
"1",2014,11.9543340040242,12.6892439243924,1111
"1",2015,11.9928233999983,12.6824759405074,1143
"2",1896,27.78636005255,11.335,4
"2",1897,4.227704918,11.96,1
"2",1898,34.672758942125,10.7625,4
"2",1899,25.191122878675,11.1825,4
